# Frequency (MHz)    Transmission (dB)    Reflection (dB)
2.073322e+02    -7.621581e+00    -4.352467e+00
2.089296e+02    -7.620962e+00    -4.348994e+00
2.105394e+02    -7.620326e+00    -4.345496e+00
2.121615e+02    -7.619674e+00    -4.341975e+00
2.137962e+02    -7.619004e+00    -4.338429e+00
2.154435e+02    -7.618318e+00    -4.334860e+00
2.171034e+02    -7.617613e+00    -4.331268e+00
2.187762e+02    -7.616890e+00    -4.327654e+00
2.204618e+02    -7.616148e+00    -4.324018e+00
2.221604e+02    -7.615387e+00    -4.320360e+00
2.238721e+02    -7.614606e+00    -4.316682e+00
2.255970e+02    -7.613804e+00    -4.312983e+00
2.273352e+02    -7.612982e+00    -4.309264e+00
2.290868e+02    -7.612138e+00    -4.305527e+00
2.308518e+02    -7.611272e+00    -4.301771e+00
2.326305e+02    -7.610383e+00    -4.297998e+00
2.344229e+02    -7.609471e+00    -4.294208e+00
2.362291e+02    -7.608535e+00    -4.290401e+00
2.380492e+02    -7.607575e+00    -4.286580e+00
2.398833e+02    -7.606590e+00    -4.282743e+00
2.417315e+02    -7.605578e+00    -4.278894e+00
2.435940e+02    -7.604541e+00    -4.275031e+00
2.454709e+02    -7.603476e+00    -4.271157e+00
2.473622e+02    -7.602383e+00    -4.267272e+00
2.492681e+02    -7.601262e+00    -4.263377e+00
2.511886e+02    -7.600112e+00    -4.259474e+00
2.531240e+02    -7.598931e+00    -4.255563e+00
2.550743e+02    -7.597720e+00    -4.251646e+00
2.570396e+02    -7.596477e+00    -4.247724e+00
2.590200e+02    -7.595201e+00    -4.243797e+00
2.610157e+02    -7.593893e+00    -4.239869e+00
2.630268e+02    -7.592550e+00    -4.235939e+00
2.650534e+02    -7.591172e+00    -4.232009e+00
2.670956e+02    -7.589758e+00    -4.228081e+00
2.691535e+02    -7.588307e+00    -4.224156e+00
2.712273e+02    -7.586818e+00    -4.220236e+00
2.733170e+02    -7.585291e+00    -4.216322e+00
2.754229e+02    -7.583724e+00    -4.212417e+00
2.775450e+02    -7.582116e+00    -4.208521e+00
2.796834e+02    -7.580466e+00    -4.204636e+00
2.818383e+02    -7.578774e+00    -4.200766e+00
2.840098e+02    -7.577037e+00    -4.196910e+00
2.861980e+02    -7.575256e+00    -4.193072e+00
2.884032e+02    -7.573428e+00    -4.189253e+00
2.906252e+02    -7.571553e+00    -4.185456e+00
2.928645e+02    -7.569630e+00    -4.181682e+00
2.951209e+02    -7.567656e+00    -4.177934e+00
2.973948e+02    -7.565632e+00    -4.174215e+00
2.996861e+02    -7.563556e+00    -4.170527e+00
3.019952e+02    -7.561426e+00    -4.166871e+00
3.043220e+02    -7.559241e+00    -4.163252e+00
3.066667e+02    -7.557001e+00    -4.159671e+00
3.090295e+02    -7.554702e+00    -4.156131e+00
3.114106e+02    -7.552345e+00    -4.152635e+00
3.138099e+02    -7.549928e+00    -4.149186e+00
3.162278e+02    -7.547448e+00    -4.145787e+00
3.186642e+02    -7.544906e+00    -4.142441e+00
3.211195e+02    -7.542298e+00    -4.139151e+00
3.235937e+02    -7.539624e+00    -4.135921e+00
3.260869e+02    -7.536882e+00    -4.132754e+00
3.285993e+02    -7.534071e+00    -4.129653e+00
3.311311e+02    -7.531188e+00    -4.126622e+00
3.336824e+02    -7.528232e+00    -4.123664e+00
3.362534e+02    -7.525202e+00    -4.120784e+00
3.388442e+02    -7.522096e+00    -4.117986e+00
3.414549e+02    -7.518911e+00    -4.115272e+00
3.440857e+02    -7.515646e+00    -4.112649e+00
3.467369e+02    -7.512300e+00    -4.110119e+00
3.494084e+02    -7.508870e+00    -4.107688e+00
3.521005e+02    -7.505354e+00    -4.105359e+00
3.548134e+02    -7.501751e+00    -4.103138e+00
3.575472e+02    -7.498058e+00    -4.101029e+00
3.603020e+02    -7.494274e+00    -4.099037e+00
3.630781e+02    -7.490396e+00    -4.097168e+00
3.658755e+02    -7.486423e+00    -4.095426e+00
3.686945e+02    -7.482352e+00    -4.093817e+00
3.715352e+02    -7.478181e+00    -4.092346e+00
3.743978e+02    -7.473908e+00    -4.091020e+00
3.772825e+02    -7.469531e+00    -4.089843e+00
3.801894e+02    -7.465047e+00    -4.088823e+00
3.831187e+02    -7.460455e+00    -4.087965e+00
3.860705e+02    -7.455751e+00    -4.087275e+00
3.890451e+02    -7.450935e+00    -4.086761e+00
3.920427e+02    -7.446002e+00    -4.086428e+00
3.950633e+02    -7.440952e+00    -4.086285e+00
3.981072e+02    -7.435781e+00    -4.086337e+00
4.011745e+02    -7.430486e+00    -4.086593e+00
4.042655e+02    -7.425067e+00    -4.087059e+00
4.073803e+02    -7.419519e+00    -4.087745e+00
4.105191e+02    -7.413841e+00    -4.088657e+00
4.136820e+02    -7.408030e+00    -4.089804e+00
4.168694e+02    -7.402084e+00    -4.091194e+00
4.200813e+02    -7.395999e+00    -4.092837e+00
4.233179e+02    -7.389773e+00    -4.094741e+00
4.265795e+02    -7.383405e+00    -4.096915e+00
4.298662e+02    -7.376890e+00    -4.099368e+00
4.331783e+02    -7.370226e+00    -4.102112e+00
4.365158e+02    -7.363411e+00    -4.105155e+00
4.398791e+02    -7.356442e+00    -4.108508e+00
4.432683e+02    -7.349316e+00    -4.112181e+00
4.466836e+02    -7.342031e+00    -4.116187e+00
4.501252e+02    -7.334584e+00    -4.120535e+00
4.535933e+02    -7.326972e+00    -4.125237e+00
4.570882e+02    -7.319193e+00    -4.130306e+00
4.606100e+02    -7.311243e+00    -4.135754e+00
4.641589e+02    -7.303121e+00    -4.141593e+00
4.677351e+02    -7.294824e+00    -4.147837e+00
4.713390e+02    -7.286349e+00    -4.154498e+00
4.749705e+02    -7.277693e+00    -4.161592e+00
4.786301e+02    -7.268854e+00    -4.169131e+00
4.823178e+02    -7.259830e+00    -4.177131e+00
4.860340e+02    -7.250617e+00    -4.185607e+00
4.897788e+02    -7.241214e+00    -4.194574e+00
4.935525e+02    -7.231618e+00    -4.204049e+00
4.973552e+02    -7.221827e+00    -4.214048e+00
5.011872e+02    -7.211839e+00    -4.224588e+00
5.050488e+02    -7.201651e+00    -4.235686e+00
5.089401e+02    -7.191261e+00    -4.247362e+00
5.128614e+02    -7.180668e+00    -4.259632e+00
5.168129e+02    -7.169869e+00    -4.272518e+00
5.207948e+02    -7.158863e+00    -4.286037e+00
5.248075e+02    -7.147648e+00    -4.300212e+00
5.288510e+02    -7.136222e+00    -4.315062e+00
5.329257e+02    -7.124584e+00    -4.330610e+00
5.370318e+02    -7.112733e+00    -4.346878e+00
5.411695e+02    -7.100668e+00    -4.363889e+00
5.453391e+02    -7.088387e+00    -4.381666e+00
5.495409e+02    -7.075890e+00    -4.400235e+00
5.537750e+02    -7.063177e+00    -4.419620e+00
5.580417e+02    -7.050246e+00    -4.439848e+00
5.623413e+02    -7.037099e+00    -4.460945e+00
5.666741e+02    -7.023734e+00    -4.482939e+00
5.710402e+02    -7.010152e+00    -4.505858e+00
5.754399e+02    -6.996355e+00    -4.529732e+00
5.798736e+02    -6.982342e+00    -4.554591e+00
5.843414e+02    -6.968115e+00    -4.580465e+00
5.888437e+02    -6.953675e+00    -4.607388e+00
5.933806e+02    -6.939025e+00    -4.635391e+00
5.979525e+02    -6.924167e+00    -4.664509e+00
6.025596e+02    -6.909102e+00    -4.694777e+00
6.072022e+02    -6.893835e+00    -4.726231e+00
6.118806e+02    -6.878368e+00    -4.758907e+00
6.165950e+02    -6.862706e+00    -4.792843e+00
6.213458e+02    -6.846852e+00    -4.828079e+00
6.261331e+02    -6.830812e+00    -4.864653e+00
6.309573e+02    -6.814590e+00    -4.902609e+00
6.358188e+02    -6.798193e+00    -4.941986e+00
6.407176e+02    -6.781627e+00    -4.982828e+00
6.456542e+02    -6.764898e+00    -5.025180e+00
6.506289e+02    -6.748015e+00    -5.069086e+00
6.556418e+02    -6.730986e+00    -5.114592e+00
6.606934e+02    -6.713819e+00    -5.161745e+00
6.657840e+02    -6.696523e+00    -5.210593e+00
6.709137e+02    -6.679110e+00    -5.261184e+00
6.760830e+02    -6.661590e+00    -5.313567e+00
6.812921e+02    -6.643975e+00    -5.367791e+00
6.865413e+02    -6.626277e+00    -5.423909e+00
6.918310e+02    -6.608510e+00    -5.481969e+00
6.971614e+02    -6.590688e+00    -5.542022e+00
7.025329e+02    -6.572825e+00    -5.604120e+00
7.079458e+02    -6.554938e+00    -5.668313e+00
7.134004e+02    -6.537043e+00    -5.734651e+00
7.188970e+02    -6.519158e+00    -5.803183e+00
7.244360e+02    -6.501301e+00    -5.873958e+00
7.300176e+02    -6.483493e+00    -5.947022e+00
7.356423e+02    -6.465753e+00    -6.022421e+00
7.413102e+02    -6.448104e+00    -6.100196e+00
7.470219e+02    -6.430567e+00    -6.180386e+00
7.527776e+02    -6.413166e+00    -6.263028e+00
7.585776e+02    -6.395926e+00    -6.348152e+00
7.644223e+02    -6.378871e+00    -6.435785e+00
7.703120e+02    -6.362029e+00    -6.525945e+00
7.762471e+02    -6.345426e+00    -6.618646e+00
7.822280e+02    -6.329091e+00    -6.713890e+00
7.882549e+02    -6.313052e+00    -6.811671e+00
7.943282e+02    -6.297341e+00    -6.911972e+00
8.004484e+02    -6.281988e+00    -7.014762e+00
8.066157e+02    -6.267024e+00    -7.119995e+00
8.128305e+02    -6.252482e+00    -7.227608e+00
8.190932e+02    -6.238396e+00    -7.337519e+00
8.254042e+02    -6.224798e+00    -7.449624e+00
8.317638e+02    -6.211723e+00    -7.563795e+00
8.381724e+02    -6.199207e+00    -7.679875e+00
8.446303e+02    -6.187284e+00    -7.797679e+00
8.511380e+02    -6.175989e+00    -7.916987e+00
8.576959e+02    -6.165358e+00    -8.037543e+00
8.643043e+02    -6.155427e+00    -8.159050e+00
8.709636e+02    -6.146232e+00    -8.281169e+00
8.776742e+02    -6.137807e+00    -8.403512e+00
8.844365e+02    -6.130188e+00    -8.525645e+00
8.912509e+02    -6.123409e+00    -8.647079e+00
8.981179e+02    -6.117503e+00    -8.767274e+00
9.050377e+02    -6.112505e+00    -8.885635e+00
9.120108e+02    -6.108444e+00    -9.001514e+00
9.190377e+02    -6.105353e+00    -9.114210e+00
9.261187e+02    -6.103260e+00    -9.222977e+00
9.332543e+02    -6.102194e+00    -9.327024e+00
9.404449e+02    -6.102179e+00    -9.425528e+00
9.476908e+02    -6.103240e+00    -9.517643e+00
9.549926e+02    -6.105399e+00    -9.602513e+00
9.623506e+02    -6.108676e+00    -9.679289e+00
9.697654e+02    -6.113086e+00    -9.747145e+00
9.772372e+02    -6.118644e+00    -9.805298e+00
9.847667e+02    -6.125362e+00    -9.853031e+00
9.923541e+02    -6.133247e+00    -9.889709e+00
1.000000e+03    -6.142305e+00    -9.914804e+00
