# Frequency (MHz)    Transmission (dB)    Reflection (dB)
1.000000e+02    -7.643774e+00    -4.564166e+00
1.007705e+02    -7.643712e+00    -4.562975e+00
1.015469e+02    -7.643648e+00    -4.561768e+00
1.023293e+02    -7.643583e+00    -4.560544e+00
1.031177e+02    -7.643516e+00    -4.559303e+00
1.039122e+02    -7.643447e+00    -4.558045e+00
1.047129e+02    -7.643378e+00    -4.556771e+00
1.055196e+02    -7.643306e+00    -4.555479e+00
1.063327e+02    -7.643233e+00    -4.554169e+00
1.071519e+02    -7.643158e+00    -4.552842e+00
1.079775e+02    -7.643082e+00    -4.551497e+00
1.088095e+02    -7.643004e+00    -4.550134e+00
1.096478e+02    -7.642924e+00    -4.548753e+00
1.104926e+02    -7.642842e+00    -4.547353e+00
1.113440e+02    -7.642759e+00    -4.545934e+00
1.122018e+02    -7.642673e+00    -4.544497e+00
1.130663e+02    -7.642586e+00    -4.543041e+00
1.139375e+02    -7.642496e+00    -4.541565e+00
1.148154e+02    -7.642404e+00    -4.540070e+00
1.157000e+02    -7.642311e+00    -4.538555e+00
1.165914e+02    -7.642215e+00    -4.537020e+00
1.174898e+02    -7.642117e+00    -4.535465e+00
1.183950e+02    -7.642016e+00    -4.533890e+00
1.193072e+02    -7.641914e+00    -4.532295e+00
1.202264e+02    -7.641808e+00    -4.530678e+00
1.211528e+02    -7.641701e+00    -4.529041e+00
1.220862e+02    -7.641591e+00    -4.527383e+00
1.230269e+02    -7.641478e+00    -4.525703e+00
1.239748e+02    -7.641363e+00    -4.524002e+00
1.249300e+02    -7.641245e+00    -4.522279e+00
1.258925e+02    -7.641124e+00    -4.520534e+00
1.268625e+02    -7.641000e+00    -4.518767e+00
1.278400e+02    -7.640873e+00    -4.516978e+00
1.288250e+02    -7.640743e+00    -4.515166e+00
1.298175e+02    -7.640610e+00    -4.513332e+00
1.308177e+02    -7.640474e+00    -4.511474e+00
1.318257e+02    -7.640335e+00    -4.509594e+00
1.328414e+02    -7.640192e+00    -4.507690e+00
1.338649e+02    -7.640046e+00    -4.505763e+00
1.348963e+02    -7.639897e+00    -4.503812e+00
1.359356e+02    -7.639743e+00    -4.501837e+00
1.369830e+02    -7.639586e+00    -4.499838e+00
1.380384e+02    -7.639426e+00    -4.497814e+00
1.391020e+02    -7.639261e+00    -4.495766e+00
1.401737e+02    -7.639092e+00    -4.493694e+00
1.412538e+02    -7.638920e+00    -4.491597e+00
1.423421e+02    -7.638742e+00    -4.489474e+00
1.434388e+02    -7.638561e+00    -4.487327e+00
1.445440e+02    -7.638375e+00    -4.485154e+00
1.456577e+02    -7.638185e+00    -4.482955e+00
1.467799e+02    -7.637990e+00    -4.480731e+00
1.479108e+02    -7.637790e+00    -4.478481e+00
1.490505e+02    -7.637585e+00    -4.476205e+00
1.501989e+02    -7.637375e+00    -4.473903e+00
1.513561e+02    -7.637160e+00    -4.471575e+00
1.525223e+02    -7.636940e+00    -4.469220e+00
1.536975e+02    -7.636714e+00    -4.466838e+00
1.548817e+02    -7.636482e+00    -4.464430e+00
1.560750e+02    -7.636245e+00    -4.461995e+00
1.572775e+02    -7.636001e+00    -4.459532e+00
1.584893e+02    -7.635752e+00    -4.457043e+00
1.597104e+02    -7.635496e+00    -4.454526e+00
1.609410e+02    -7.635234e+00    -4.451982e+00
1.621810e+02    -7.634966e+00    -4.449411e+00
1.634306e+02    -7.634690e+00    -4.446812e+00
1.646898e+02    -7.634408e+00    -4.444185e+00
1.659587e+02    -7.634118e+00    -4.441531e+00
1.672374e+02    -7.633822e+00    -4.438848e+00
1.685259e+02    -7.633517e+00    -4.436138e+00
1.698244e+02    -7.633205e+00    -4.433400e+00
1.711328e+02    -7.632885e+00    -4.430634e+00
1.724514e+02    -7.632557e+00    -4.427840e+00
1.737801e+02    -7.632221e+00    -4.425018e+00
1.751190e+02    -7.631876e+00    -4.422168e+00
1.764683e+02    -7.631522e+00    -4.419290e+00
1.778279e+02    -7.631159e+00    -4.416383e+00
1.791981e+02    -7.630787e+00    -4.413449e+00
1.805788e+02    -7.630405e+00    -4.410486e+00
1.819701e+02    -7.630014e+00    -4.407496e+00
1.833721e+02    -7.629613e+00    -4.404477e+00
1.847850e+02    -7.629201e+00    -4.401431e+00
1.862087e+02    -7.628778e+00    -4.398357e+00
1.876434e+02    -7.628345e+00    -4.395255e+00
1.890892e+02    -7.627901e+00    -4.392125e+00
1.905461e+02    -7.627445e+00    -4.388968e+00
1.920142e+02    -7.626977e+00    -4.385783e+00
1.934936e+02    -7.626498e+00    -4.382571e+00
1.949845e+02    -7.626006e+00    -4.379332e+00
1.964868e+02    -7.625501e+00    -4.376066e+00
1.980007e+02    -7.624983e+00    -4.372773e+00
1.995262e+02    -7.624452e+00    -4.369454e+00
2.010635e+02    -7.623907e+00    -4.366108e+00
2.026127e+02    -7.623348e+00    -4.362736e+00
2.041738e+02    -7.622774e+00    -4.359339e+00
2.057469e+02    -7.622185e+00    -4.355916e+00
