# Frequency (MHz)    Transmission (dB)    Reflection (dB)
1.000000e+02    -7.108954e+00    -1.010195e+01
1.007705e+02    -7.118165e+00    -1.017495e+01
1.015469e+02    -7.127544e+00    -1.024885e+01
1.023293e+02    -7.137091e+00    -1.032361e+01
1.031177e+02    -7.146801e+00    -1.039922e+01
1.039122e+02    -7.156667e+00    -1.047564e+01
1.047129e+02    -7.166682e+00    -1.055285e+01
1.055196e+02    -7.176839e+00    -1.063082e+01
1.063327e+02    -7.187133e+00    -1.070954e+01
1.071519e+02    -7.197561e+00    -1.078897e+01
1.079775e+02    -7.208125e+00    -1.086909e+01
1.088095e+02    -7.218831e+00    -1.094989e+01
1.096478e+02    -7.229688e+00    -1.103132e+01
1.104926e+02    -7.240707e+00    -1.111335e+01
1.113440e+02    -7.251902e+00    -1.119591e+01
1.122018e+02    -7.263282e+00    -1.127895e+01
1.130663e+02    -7.274856e+00    -1.136238e+01
1.139375e+02    -7.286627e+00    -1.144610e+01
1.148154e+02    -7.298592e+00    -1.153002e+01
1.157000e+02    -7.310745e+00    -1.161404e+01
1.165914e+02    -7.323075e+00    -1.169806e+01
1.174898e+02    -7.335569e+00    -1.178196e+01
1.183950e+02    -7.348218e+00    -1.186566e+01
1.193072e+02    -7.361012e+00    -1.194905e+01
1.202264e+02    -7.373951e+00    -1.203203e+01
1.211528e+02    -7.387039e+00    -1.211450e+01
1.220862e+02    -7.400286e+00    -1.219632e+01
1.230269e+02    -7.413707e+00    -1.227736e+01
1.239748e+02    -7.427317e+00    -1.235744e+01
1.249300e+02    -7.441130e+00    -1.243639e+01
1.258925e+02    -7.455155e+00    -1.251399e+01
1.268625e+02    -7.469392e+00    -1.259004e+01
1.278400e+02    -7.483834e+00    -1.266432e+01
1.288250e+02    -7.498466e+00    -1.273662e+01
1.298175e+02    -7.513271e+00    -1.280674e+01
1.308177e+02    -7.528231e+00    -1.287449e+01
1.318257e+02    -7.543332e+00    -1.293970e+01
1.328414e+02    -7.558572e+00    -1.300217e+01
1.338649e+02    -7.573954e+00    -1.306173e+01
1.348963e+02    -7.589493e+00    -1.311817e+01
1.359356e+02    -7.605207e+00    -1.317126e+01
1.369830e+02    -7.621116e+00    -1.322076e+01
1.380384e+02    -7.637235e+00    -1.326643e+01
1.391020e+02    -7.653567e+00    -1.330801e+01
1.401737e+02    -7.670105e+00    -1.334530e+01
1.412538e+02    -7.686829e+00    -1.337811e+01
1.423421e+02    -7.703716e+00    -1.340630e+01
1.434388e+02    -7.720740e+00    -1.342977e+01
1.445440e+02    -7.737882e+00    -1.344843e+01
1.456577e+02    -7.755137e+00    -1.346223e+01
1.467799e+02    -7.772515e+00    -1.347109e+01
1.479108e+02    -7.790035e+00    -1.347493e+01
1.490505e+02    -7.807723e+00    -1.347367e+01
