# Frequency (MHz)    Transmission (dB)    Reflection (dB)
1.000000e+02    -9.304492e+00    -3.524495e+00
1.007705e+02    -9.306142e+00    -3.521985e+00
1.015469e+02    -9.307816e+00    -3.519441e+00
1.023293e+02    -9.309515e+00    -3.516861e+00
1.031177e+02    -9.311239e+00    -3.514246e+00
1.039122e+02    -9.312989e+00    -3.511595e+00
1.047129e+02    -9.314765e+00    -3.508907e+00
1.055196e+02    -9.316567e+00    -3.506182e+00
1.063327e+02    -9.318395e+00    -3.503420e+00
1.071519e+02    -9.320251e+00    -3.500620e+00
1.079775e+02    -9.322133e+00    -3.497782e+00
1.088095e+02    -9.324044e+00    -3.494905e+00
1.096478e+02    -9.325983e+00    -3.491989e+00
1.104926e+02    -9.327950e+00    -3.489033e+00
1.113440e+02    -9.329946e+00    -3.486037e+00
1.122018e+02    -9.331971e+00    -3.483001e+00
1.130663e+02    -9.334026e+00    -3.479923e+00
1.139375e+02    -9.336112e+00    -3.476804e+00
1.148154e+02    -9.338227e+00    -3.473644e+00
1.157000e+02    -9.340374e+00    -3.470440e+00
1.165914e+02    -9.342552e+00    -3.467194e+00
1.174898e+02    -9.344762e+00    -3.463905e+00
1.183950e+02    -9.347004e+00    -3.460571e+00
1.193072e+02    -9.349279e+00    -3.457194e+00
1.202264e+02    -9.351587e+00    -3.453771e+00
1.211528e+02    -9.353929e+00    -3.450303e+00
1.220862e+02    -9.356305e+00    -3.446790e+00
1.230269e+02    -9.358715e+00    -3.443230e+00
1.239748e+02    -9.361160e+00    -3.439623e+00
1.249300e+02    -9.363641e+00    -3.435969e+00
1.258925e+02    -9.366157e+00    -3.432267e+00
1.268625e+02    -9.368710e+00    -3.428517e+00
1.278400e+02    -9.371300e+00    -3.424718e+00
1.288250e+02    -9.373927e+00    -3.420870e+00
1.298175e+02    -9.376593e+00    -3.416972e+00
1.308177e+02    -9.379296e+00    -3.413024e+00
1.318257e+02    -9.382039e+00    -3.409025e+00
1.328414e+02    -9.384821e+00    -3.404974e+00
1.338649e+02    -9.387643e+00    -3.400872e+00
1.348963e+02    -9.390505e+00    -3.396718e+00
1.359356e+02    -9.393409e+00    -3.392510e+00
1.369830e+02    -9.396354e+00    -3.388250e+00
1.380384e+02    -9.399341e+00    -3.383935e+00
1.391020e+02    -9.402371e+00    -3.379566e+00
1.401737e+02    -9.405444e+00    -3.375142e+00
1.412538e+02    -9.408560e+00    -3.370663e+00
1.423421e+02    -9.411721e+00    -3.366128e+00
1.434388e+02    -9.414927e+00    -3.361537e+00
1.445440e+02    -9.418179e+00    -3.356888e+00
1.456577e+02    -9.421476e+00    -3.352182e+00
1.467799e+02    -9.424820e+00    -3.347418e+00
1.479108e+02    -9.428212e+00    -3.342596e+00
1.490505e+02    -9.431651e+00    -3.337715e+00
1.501989e+02    -9.435139e+00    -3.332774e+00
1.513561e+02    -9.438676e+00    -3.327773e+00
1.525223e+02    -9.442262e+00    -3.322712e+00
1.536975e+02    -9.445899e+00    -3.317590e+00
1.548817e+02    -9.449587e+00    -3.312406e+00
1.560750e+02    -9.453326e+00    -3.307161e+00
1.572775e+02    -9.457118e+00    -3.301853e+00
1.584893e+02    -9.460962e+00    -3.296482e+00
1.597104e+02    -9.464860e+00    -3.291047e+00
1.609410e+02    -9.468812e+00    -3.285549e+00
1.621810e+02    -9.472819e+00    -3.279986e+00
1.634306e+02    -9.476881e+00    -3.274359e+00
1.646898e+02    -9.481000e+00    -3.268666e+00
1.659587e+02    -9.485175e+00    -3.262907e+00
1.672374e+02    -9.489408e+00    -3.257082e+00
1.685259e+02    -9.493699e+00    -3.251191e+00
1.698244e+02    -9.498049e+00    -3.245232e+00
1.711328e+02    -9.502459e+00    -3.239205e+00
1.724514e+02    -9.506929e+00    -3.233111e+00
1.737801e+02    -9.511460e+00    -3.226948e+00
1.751190e+02    -9.516052e+00    -3.220716e+00
1.764683e+02    -9.520708e+00    -3.214415e+00
