# Frequency (MHz)    Transmission (dB)    Reflection (dB)
1.000000e+02    -1.296900e-01    -1.527464e+01
1.007705e+02    -1.287808e-01    -1.530440e+01
1.015469e+02    -1.278142e-01    -1.533630e+01
1.023293e+02    -1.267896e-01    -1.537039e+01
1.031177e+02    -1.257061e-01    -1.540676e+01
1.039122e+02    -1.245631e-01    -1.544548e+01
1.047129e+02    -1.233597e-01    -1.548662e+01
1.055196e+02    -1.220954e-01    -1.553026e+01
1.063327e+02    -1.207699e-01    -1.557647e+01
1.071519e+02    -1.193827e-01    -1.562535e+01
1.079775e+02    -1.179339e-01    -1.567698e+01
1.088095e+02    -1.164237e-01    -1.573145e+01
1.096478e+02    -1.148523e-01    -1.578887e+01
1.104926e+02    -1.132202e-01    -1.584935e+01
1.113440e+02    -1.115279e-01    -1.591299e+01
1.122018e+02    -1.097760e-01    -1.597994e+01
1.130663e+02    -1.079650e-01    -1.605030e+01
1.139375e+02    -1.060954e-01    -1.612423e+01
1.148154e+02    -1.041677e-01    -1.620187e+01
1.157000e+02    -1.021823e-01    -1.628337e+01
1.165914e+02    -1.001396e-01    -1.636888e+01
1.174898e+02    -9.804050e-02    -1.645858e+01
1.183950e+02    -9.588572e-02    -1.655264e+01
1.193072e+02    -9.367648e-02    -1.665124e+01
1.202264e+02    -9.141430e-02    -1.675459e+01
1.211528e+02    -8.910104e-02    -1.686288e+01
1.220862e+02    -8.673889e-02    -1.697637e+01
1.230269e+02    -8.433027e-02    -1.709528e+01
1.239748e+02    -8.187774e-02    -1.721990e+01
1.249300e+02    -7.938395e-02    -1.735052e+01
1.258925e+02    -7.685150e-02    -1.748745e+01
1.268625e+02    -7.428296e-02    -1.763104e+01
1.278400e+02    -7.168090e-02    -1.778166e+01
1.288250e+02    -6.904794e-02    -1.793968e+01
1.298175e+02    -6.638687e-02    -1.810555e+01
1.308177e+02    -6.370082e-02    -1.827970e+01
1.318257e+02    -6.099334e-02    -1.846264e+01
1.328414e+02    -5.826849e-02    -1.865492e+01
1.338649e+02    -5.553083e-02    -1.885712e+01
1.348963e+02    -5.278536e-02    -1.906992e+01
1.359356e+02    -5.003739e-02    -1.929406e+01
1.369830e+02    -4.729238e-02    -1.953037e+01
1.380384e+02    -4.455580e-02    -1.977977e+01
1.391020e+02    -4.183301e-02    -2.004330e+01
1.401737e+02    -3.912933e-02    -2.032212e+01
1.412538e+02    -3.645007e-02    -2.061753e+01
1.423421e+02    -3.380072e-02    -2.093100e+01
1.434388e+02    -3.118717e-02    -2.126419e+01
1.445440e+02    -2.861585e-02    -2.161902e+01
1.456577e+02    -2.609384e-02    -2.199771e+01
1.467799e+02    -2.362886e-02    -2.240285e+01
1.479108e+02    -2.122905e-02    -2.283751e+01
1.490505e+02    -1.890282e-02    -2.330532e+01
1.501989e+02    -1.665854e-02    -2.381068e+01
1.513561e+02    -1.450437e-02    -2.435893e+01
1.525223e+02    -1.244819e-02    -2.495661e+01
1.536975e+02    -1.049773e-02    -2.561194e+01
1.548817e+02    -8.660756e-03    -2.633532e+01
1.560750e+02    -6.945375e-03    -2.714032e+01
1.572775e+02    -5.360290e-03    -2.804507e+01
1.584893e+02    -3.914886e-03    -2.907458e+01
1.597104e+02    -2.619142e-03    -3.026483e+01
1.609410e+02    -1.483343e-03    -3.167017e+01
1.621810e+02    -5.176942e-04    -3.337862e+01
1.634306e+02    2.680347e-04    -3.554677e+01
