# Frequency (MHz)    Transmission (dB)    Reflection (dB)
1.000000e+02    -1.044706e+01    -2.739463e+00
1.007705e+02    -1.044931e+01    -2.734030e+00
1.015469e+02    -1.045157e+01    -2.728548e+00
1.023293e+02    -1.045386e+01    -2.723016e+00
1.031177e+02    -1.045616e+01    -2.717436e+00
1.039122e+02    -1.045847e+01    -2.711807e+00
1.047129e+02    -1.046080e+01    -2.706129e+00
1.055196e+02    -1.046315e+01    -2.700402e+00
1.063327e+02    -1.046552e+01    -2.694626e+00
1.071519e+02    -1.046790e+01    -2.688802e+00
1.079775e+02    -1.047029e+01    -2.682930e+00
1.088095e+02    -1.047270e+01    -2.677010e+00
1.096478e+02    -1.047513e+01    -2.671041e+00
1.104926e+02    -1.047756e+01    -2.665025e+00
1.113440e+02    -1.048001e+01    -2.658962e+00
1.122018e+02    -1.048248e+01    -2.652851e+00
1.130663e+02    -1.048496e+01    -2.646693e+00
1.139375e+02    -1.048745e+01    -2.640489e+00
1.148154e+02    -1.048995e+01    -2.634239e+00
1.157000e+02    -1.049246e+01    -2.627942e+00
1.165914e+02    -1.049498e+01    -2.621600e+00
1.174898e+02    -1.049752e+01    -2.615213e+00
1.183950e+02    -1.050006e+01    -2.608781e+00
1.193072e+02    -1.050261e+01    -2.602304e+00
1.202264e+02    -1.050517e+01    -2.595784e+00
1.211528e+02    -1.050774e+01    -2.589221e+00
1.220862e+02    -1.051031e+01    -2.582614e+00
1.230269e+02    -1.051289e+01    -2.575966e+00
1.239748e+02    -1.051548e+01    -2.569275e+00
1.249300e+02    -1.051807e+01    -2.562544e+00
1.258925e+02    -1.052066e+01    -2.555772e+00
1.268625e+02    -1.052326e+01    -2.548960e+00
1.278400e+02    -1.052586e+01    -2.542109e+00
1.288250e+02    -1.052846e+01    -2.535219e+00
1.298175e+02    -1.053106e+01    -2.528292e+00
1.308177e+02    -1.053366e+01    -2.521328e+00
1.318257e+02    -1.053625e+01    -2.514327e+00
1.328414e+02    -1.053884e+01    -2.507291e+00
1.338649e+02    -1.054143e+01    -2.500221e+00
1.348963e+02    -1.054402e+01    -2.493117e+00
1.359356e+02    -1.054659e+01    -2.485980e+00
1.369830e+02    -1.054916e+01    -2.478812e+00
1.380384e+02    -1.055172e+01    -2.471612e+00
1.391020e+02    -1.055427e+01    -2.464383e+00
1.401737e+02    -1.055680e+01    -2.457126e+00
1.412538e+02    -1.055932e+01    -2.449841e+00
1.423421e+02    -1.056183e+01    -2.442529e+00
1.434388e+02    -1.056432e+01    -2.435192e+00
1.445440e+02    -1.056679e+01    -2.427831e+00
1.456577e+02    -1.056925e+01    -2.420447e+00
1.467799e+02    -1.057168e+01    -2.413041e+00
1.479108e+02    -1.057409e+01    -2.405615e+00
1.490505e+02    -1.057647e+01    -2.398171e+00
1.501989e+02    -1.057882e+01    -2.390708e+00
1.513561e+02    -1.058115e+01    -2.383230e+00
1.525223e+02    -1.058345e+01    -2.375736e+00
1.536975e+02    -1.058571e+01    -2.368230e+00
1.548817e+02    -1.058794e+01    -2.360712e+00
1.560750e+02    -1.059013e+01    -2.353184e+00
1.572775e+02    -1.059228e+01    -2.345647e+00
1.584893e+02    -1.059439e+01    -2.338104e+00
1.597104e+02    -1.059646e+01    -2.330556e+00
1.609410e+02    -1.059848e+01    -2.323004e+00
1.621810e+02    -1.060045e+01    -2.315451e+00
1.634306e+02    -1.060236e+01    -2.307899e+00
1.646898e+02    -1.060423e+01    -2.300348e+00
1.659587e+02    -1.060603e+01    -2.292803e+00
1.672374e+02    -1.060778e+01    -2.285263e+00
1.685259e+02    -1.060946e+01    -2.277732e+00
1.698244e+02    -1.061108e+01    -2.270211e+00
1.711328e+02    -1.061263e+01    -2.262703e+00
1.724514e+02    -1.061411e+01    -2.255209e+00
1.737801e+02    -1.061551e+01    -2.247733e+00
1.751190e+02    -1.061683e+01    -2.240276e+00
1.764683e+02    -1.061807e+01    -2.232840e+00
1.778279e+02    -1.061923e+01    -2.225429e+00
1.791981e+02    -1.062030e+01    -2.218045e+00
1.805788e+02    -1.062127e+01    -2.210689e+00
1.819701e+02    -1.062215e+01    -2.203366e+00
1.833721e+02    -1.062292e+01    -2.196077e+00
1.847850e+02    -1.062360e+01    -2.188825e+00
1.862087e+02    -1.062416e+01    -2.181613e+00
1.876434e+02    -1.062461e+01    -2.174444e+00
1.890892e+02    -1.062495e+01    -2.167320e+00
1.905461e+02    -1.062516e+01    -2.160246e+00
1.920142e+02    -1.062525e+01    -2.153223e+00
1.934936e+02    -1.062520e+01    -2.146254e+00
1.949845e+02    -1.062503e+01    -2.139344e+00
1.964868e+02    -1.062471e+01    -2.132496e+00
1.980007e+02    -1.062424e+01    -2.125712e+00
1.995262e+02    -1.062363e+01    -2.118996e+00
2.010635e+02    -1.062286e+01    -2.112351e+00
2.026127e+02    -1.062193e+01    -2.105782e+00
2.041738e+02    -1.062084e+01    -2.099292e+00
2.057469e+02    -1.061957e+01    -2.092884e+00
2.073322e+02    -1.061813e+01    -2.086563e+00
2.089296e+02    -1.061650e+01    -2.080333e+00
2.105394e+02    -1.061469e+01    -2.074196e+00
2.121615e+02    -1.061268e+01    -2.068159e+00
2.137962e+02    -1.061047e+01    -2.062224e+00
2.154435e+02    -1.060806e+01    -2.056396e+00
2.171034e+02    -1.060543e+01    -2.050680e+00
2.187762e+02    -1.060258e+01    -2.045080e+00
2.204618e+02    -1.059950e+01    -2.039600e+00
2.221604e+02    -1.059619e+01    -2.034247e+00
