# Frequency (MHz)    Transmission (dB)    Reflection (dB)
1.000000e+02    -2.888544e+00    -1.494135e+01
1.007705e+02    -2.890171e+00    -1.500638e+01
1.015469e+02    -2.891819e+00    -1.507271e+01
1.023293e+02    -2.893488e+00    -1.514038e+01
1.031177e+02    -2.895179e+00    -1.520942e+01
1.039122e+02    -2.896891e+00    -1.527986e+01
1.047129e+02    -2.898625e+00    -1.535174e+01
1.055196e+02    -2.900382e+00    -1.542510e+01
1.063327e+02    -2.902160e+00    -1.549998e+01
1.071519e+02    -2.903960e+00    -1.557640e+01
1.079775e+02    -2.905783e+00    -1.565442e+01
1.088095e+02    -2.907629e+00    -1.573407e+01
1.096478e+02    -2.909497e+00    -1.581540e+01
1.104926e+02    -2.911389e+00    -1.589845e+01
1.113440e+02    -2.913303e+00    -1.598327e+01
1.122018e+02    -2.915240e+00    -1.606990e+01
1.130663e+02    -2.917201e+00    -1.615840e+01
1.139375e+02    -2.919185e+00    -1.624881e+01
1.148154e+02    -2.921193e+00    -1.634118e+01
1.157000e+02    -2.923224e+00    -1.643558e+01
1.165914e+02    -2.925279e+00    -1.653206e+01
1.174898e+02    -2.927357e+00    -1.663067e+01
1.183950e+02    -2.929460e+00    -1.673148e+01
1.193072e+02    -2.931586e+00    -1.683455e+01
1.202264e+02    -2.933737e+00    -1.693994e+01
1.211528e+02    -2.935911e+00    -1.704772e+01
1.220862e+02    -2.938110e+00    -1.715796e+01
1.230269e+02    -2.940333e+00    -1.727074e+01
1.239748e+02    -2.942580e+00    -1.738612e+01
1.249300e+02    -2.944851e+00    -1.750419e+01
1.258925e+02    -2.947147e+00    -1.762503e+01
1.268625e+02    -2.949466e+00    -1.774871e+01
1.278400e+02    -2.951810e+00    -1.787533e+01
1.288250e+02    -2.954178e+00    -1.800497e+01
1.298175e+02    -2.956570e+00    -1.813773e+01
1.308177e+02    -2.958986e+00    -1.827370e+01
1.318257e+02    -2.961426e+00    -1.841298e+01
1.328414e+02    -2.963890e+00    -1.855567e+01
1.338649e+02    -2.966377e+00    -1.870187e+01
1.348963e+02    -2.968888e+00    -1.885171e+01
1.359356e+02    -2.971423e+00    -1.900527e+01
1.369830e+02    -2.973981e+00    -1.916269e+01
1.380384e+02    -2.976562e+00    -1.932407e+01
1.391020e+02    -2.979166e+00    -1.948954e+01
1.401737e+02    -2.981792e+00    -1.965922e+01
1.412538e+02    -2.984442e+00    -1.983323e+01
1.423421e+02    -2.987113e+00    -2.001168e+01
1.434388e+02    -2.989806e+00    -2.019472e+01
1.445440e+02    -2.992521e+00    -2.038245e+01
1.456577e+02    -2.995257e+00    -2.057501e+01
1.467799e+02    -2.998014e+00    -2.077250e+01
1.479108e+02    -3.000792e+00    -2.097503e+01
1.490505e+02    -3.003590e+00    -2.118271e+01
1.501989e+02    -3.006407e+00    -2.139563e+01
1.513561e+02    -3.009244e+00    -2.161386e+01
1.525223e+02    -3.012100e+00    -2.183745e+01
1.536975e+02    -3.014974e+00    -2.206643e+01
1.548817e+02    -3.017865e+00    -2.230079e+01
1.560750e+02    -3.020774e+00    -2.254048e+01
1.572775e+02    -3.023700e+00    -2.278540e+01
1.584893e+02    -3.026641e+00    -2.303539e+01
1.597104e+02    -3.029598e+00    -2.329018e+01
1.609410e+02    -3.032570e+00    -2.354944e+01
1.621810e+02    -3.035555e+00    -2.381270e+01
1.634306e+02    -3.038554e+00    -2.407934e+01
1.646898e+02    -3.041565e+00    -2.434858e+01
1.659587e+02    -3.044588e+00    -2.461944e+01
1.672374e+02    -3.047622e+00    -2.489069e+01
1.685259e+02    -3.050665e+00    -2.516083e+01
1.698244e+02    -3.053718e+00    -2.542806e+01
1.711328e+02    -3.056778e+00    -2.569023e+01
1.724514e+02    -3.059846e+00    -2.594485e+01
1.737801e+02    -3.062920e+00    -2.618905e+01
1.751190e+02    -3.065999e+00    -2.641961e+01
1.764683e+02    -3.069082e+00    -2.663301e+01
1.778279e+02    -3.072168e+00    -2.682554e+01
1.791981e+02    -3.075255e+00    -2.699336e+01
1.805788e+02    -3.078344e+00    -2.713278e+01
1.819701e+02    -3.081432e+00    -2.724038e+01
1.833721e+02    -3.084518e+00    -2.731329e+01
1.847850e+02    -3.087601e+00    -2.734936e+01
1.862087e+02    -3.090680e+00    -2.734741e+01
1.876434e+02    -3.093753e+00    -2.730725e+01
1.890892e+02    -3.096819e+00    -2.722977e+01
1.905461e+02    -3.099878e+00    -2.711681e+01
1.920142e+02    -3.102927e+00    -2.697104e+01
1.934936e+02    -3.105965e+00    -2.679576e+01
1.949845e+02    -3.108990e+00    -2.659465e+01
1.964868e+02    -3.112002e+00    -2.637156e+01
1.980007e+02    -3.114999e+00    -2.613032e+01
1.995262e+02    -3.117980e+00    -2.587460e+01
2.010635e+02    -3.120943e+00    -2.560780e+01
2.026127e+02    -3.123887e+00    -2.533297e+01
2.041738e+02    -3.126810e+00    -2.505281e+01
2.057469e+02    -3.129711e+00    -2.476967e+01
2.073322e+02    -3.132589e+00    -2.448553e+01
2.089296e+02    -3.135442e+00    -2.420207e+01
2.105394e+02    -3.138270e+00    -2.392066e+01
2.121615e+02    -3.141070e+00    -2.364245e+01
2.137962e+02    -3.143842e+00    -2.336836e+01
